city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,square_footage,year_built,buildings,stories,zoning,lot_size_acres,dock_high_doors,ceiling_height,units,year_renovated,parking_spaces,tenancy,number_of_tenants,net_rentable_sqft,occupancy_percentage,broker_co_op,investment_type,lot_size_sqft,lease_type,lease_term_year,sale_condition,class,investment_sub_type,tenant_credit,brand_tenant,cap_rate_percentage,noi,rent_bumps,lease_options,ownership,price_acre_land_value,lease_commencement,lease_expiration,price_sqft,pro_forma_cap_rate_percentage,pro_forma_noi,air_rights_sqft,price_sqft_land_value,loading_docks,ground_lease,remaining_term_year
charlotte nc,2500000.0,"9125 lawyers rd - former bank branch - charlotte, nc ~1.8ac","9125 Lawyers Rd Charlotte, NC 28227","Former bank branch for sale, prime redevelopment opportunity in growing market - Charlotte, NC.",https://www.crexi.com/properties/1646712/north-carolina-former-bank-branch-on-hard-corner---charlotte-nc,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,12150000.0,901 n church street,"901 N Church St Charlotte, NC 28206","Industrial • 48,756 SqFt",https://www.crexi.com/properties/1522248/north-carolina-901-n-church-street,12150000.0,2024-05-01,447.0,industrial,warehouse,48756.0,1929,3.0,3.0,ML-2,2.041,3.0,29’5”- 36’8”; 15’4” to 21’4”; 21’8” to 27’5”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,2114512.0,411 billingsley rd suite 104,"411 Billingsley Rd Charlotte, NC 28211","Office • 4,370 SqFt",https://www.crexi.com/properties/1629039/north-carolina-411-billingsley-rd,2114512.0,,361.0,office,medical office,4370.0,1990,,2.0,O-15 CD,,,,2.0,2023.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,8910 s tryon street,"8910 S Tryon St Charlotte, NC 28273",Investment Opportunity • Retail Shopping Center • Charlotte NC,https://www.crexi.com/properties/1831221/north-carolina-8910-s-tryon-street,,,126.0,"mixed use, office, retail",shopping center,12750.0,1974,1.0,1.0,,1.474,,,6.0,,,multi,6.0,12750.0,100.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,519000.0,"4334 denver ave, charlotte, nc 28208","4334 Denver Ave Charlotte, NC 28208",Multifamily,https://www.crexi.com/properties/1952134/north-carolina-4334-denver-ave-charlotte-nc-28208,519000.0,,42.0,multifamily,commericial,2213.0,1962,1.0,,N2-B,,,,,,,,,,,Yes,Redevelopment,"20,909",,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,stable healthcare investment,3 LOCATIONS,Retail,https://www.crexi.com/properties/1879906/north-carolina-stable-healthcare-investment,,,110.0,"retail, multifamily","apartment building, commercial",4409.0,,3.0,,R8 | High-Density Residential; UMO (Urban Mixed Use); N1-A (Neighborhood 1-A),.36 - .6,,,,,,single,,,,,,,NNN,18.0,1031 exchange,,,,,,,,,,,,,,,,,,,,20.0
charlotte nc,21874552.0,north davidson st,"North Davidson St Charlotte, NC 28202",Land • 5.907 acres,https://www.crexi.com/properties/1891673/north-carolina-north-davidson-st,21874552.0,,101.0,land,commercial,,,,,Tod-uc & Tod-nc,5.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,4111 monroe rd/613 crater st,"4111 Monroe Rd Charlotte, NC 28205",Prime Mixed-Use Development Opportunity • +/- 0.94 AC,https://www.crexi.com/properties/1338752/north-carolina-4111-monroe-rd613-crater-st,,,593.0,land,commercial,,,,,B-2,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1200000.0,2522 the plaza,"2522 The Plaza Charlotte, NC 28205",The Plaza ~ Land ~ 0.44 acres,https://www.crexi.com/properties/1546057/north-carolina-2522-the-plaza,1200000.0,2024-05-29,419.0,"land, mixed use, retail","commercial, convenience store",,,1.0,,General Commercial,0.44,,,,,,,,,,,Owner/User,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,600 blk crater street,"600 Crater St Charlotte, NC 28205",Land,https://www.crexi.com/properties/1338745/north-carolina-600-blk-crater-street,,,593.0,land,commercial,,,,,B-2/O-2,.5 - 1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
