city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,zoning,lease_type,tenancy,brand_tenant,square_footage,cap_rate_percentage,occupancy_percentage,noi,investment_type,buildings,net_rentable_sqft,ownership,year_built,stories,class,rent_bumps,loading_docks,dock_high_doors,ceiling_height,year_renovated,broker_co_op,lease_expiration,price_sqft_land_value,lease_term_year,sale_condition,number_of_tenants,tenant_credit,lease_commencement,parking_spaces,units,price_acre_land_value,lease_options,ground_lease,price_sqft,remaining_term_year
charlotte nc,,227-231 atando,"227 Atando Ave Charlotte, NC 28206",Land • 5.629 acres,https://www.crexi.com/properties/1731347/north-carolina-227-231-atando,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,900000.0,two sandwich franchise locations with turnkey operations!,"2040 Freeman Park Dr Charlotte, NC 28273",Business for Sale,https://www.crexi.com/properties/1647145/north-carolina-two-sandwich-franchise-locations-with-turnkey-operations,900000.0,2024-08-16,339.0,business for sale,business only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1095860.0,mint hill land on hwy 218/allen black rd. side,"0 218 Highway Mint Hill, NC 28227",3.14 Acres I-485 / Mint Hill Exit,https://www.crexi.com/properties/1027782/north-carolina-mint-hill-land-on-hwy-218allen-black-rd-side,1095860.0,2023-01-17,917.0,land,"vacant land, other",3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,935 s summit,"935 S Summit Ave Charlotte, NC 28208",Multifamily,https://www.crexi.com/properties/1777952/north-carolina-935-s-summit-avenue,,2025-02-12,160.0,"multifamily, land",apartment building,1.99,"I-1, PED-O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,4900000.0,eatonton & newberry st. assemblage,"Eatonton & Newberry St. Asseblage Charlotte, NC 28208",Land for Sale • +/- 6.234 AC,https://www.crexi.com/properties/794089/north-carolina-eatonton-newberry-st-asseblage,4900000.0,2022-03-30,1210.0,land,industrial,3.22,I-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,41000000.0,net leased portfolio nine-property nc and sc,9 LOCATIONS,Rare Legacy Portfolio,https://www.crexi.com/properties/799634/north-carolina-net-leased-portfolio-nine-property-north-carolina-and-south-carolina,41000000.0,2022-04-08,1201.0,retail,"qsr/fast food, grocery store",.68 - 4.02,,NNN,single,"dollar general, walgreens, cvs pharmacy, family dollar, food lion, bojangles, goodyear auto service",21775.0,5.27,100.0,2161314.96,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
charlotte nc,,statesville ave|north end assemblage,"Statesville Ave|North End Assemblage Charlotte, NC 28206",Multifamily • 375 Units,https://www.crexi.com/properties/1951054/north-carolina-statesville-avenorth-end-assemblage,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,399000.0,2928 n. graham street,"2928 N Graham St Charlotte, NC 28206","Industrial • 1,184 SF",https://www.crexi.com/properties/1899222/north-carolina-2928-n-graham-street,399000.0,2025-04-21,91.0,"industrial, land","distribution, manufacturing, warehouse",0.42,ML-1 & N1-C,,,,1184.0,,,,Redevelopment,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,5337 johoy drive,"5337 Johoy Drive Charlotte, NC 28216",Land • 1.87 acres,https://www.crexi.com/properties/1747508/north-carolina-sunseti77-residential-development-opportunity,,2025-01-14,188.0,land,residential,1.87,N1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,900000.0,world class recording/media production studio,"3120 Latrobe Dr. Charlotte, NC 28211","Special Purpose • 3,472 SqFt",https://www.crexi.com/properties/1933167/north-carolina-world-class-recordingmedia-production-studio,900000.0,2025-05-21,62.0,special purpose,sports/entertainment,,Commercial,,,,3472.0,,,,,,3472.0,Owner/operator,,,,,,,,,,,,,,,,,,,,,,,
