city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,broker_co_op,zoning,class,square_footage,year_built,buildings,stories,net_rentable_sqft,price_sqft,investment_type,investment_sub_type,lease_type,tenancy,brand_tenant,lease_expiration,cap_rate_percentage,occupancy_percentage,noi,units,rent_bumps,lease_options,ownership,sale_condition,tenant_credit,lease_term_year,lease_commencement,parking_spaces,loading_docks,dock_high_doors,ceiling_height,year_renovated,price_sqft_land_value,remaining_term_year
charlotte nc,,belgate land,"8145 Ikea Blvd Charlotte, NC 28262",PRIME LOCATION • EASY ACCESS TO I-85 • HIGH TRAFFIC COUNTS • WATER AND SEWER AT SITE,https://www.crexi.com/properties/1832308/north-carolina-belgate-land,,2025-03-18,125.0,land,commercial,3.56,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,caldwell park dr.,"6120 Caldwell Park Dr Charlotte, NC 28213",Land,https://www.crexi.com/properties/1402052/north-carolina-caldwell-park-dr,,2024-01-08,560.0,land,industrial,4.5 - 36.5,,"ML-2, EC, PUD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,portfolio sale 435-501,"435 - 501 E. Morehead St. Charlotte, NC 28202",Portfolio Sale,https://www.crexi.com/properties/1956637/north-carolina-portfolio-sale-435-501,,2025-06-06,46.0,"office, retail",traditional office,,,B1 and UMD,C,6000.0,1900 and 1961,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,640000.0,2820 the plaza,"Brook Road Charlotte, NC 28205",Available for Sale or Lease,https://www.crexi.com/properties/141766/north-carolina-2808-2814-2820-the-plaza,640000.0,2018-08-30,2518.0,"office, retail",medical office,0.22,,CG,,1020.0,,1.0,1.0,1020.0,627.45,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,3750000.0,"murphy usa (corp lease) – charlotte, nc","13230 Carowinds Blvd Charlotte, NC 28273","Retail • 5.00% CAP • 2,824 SqFt",https://www.crexi.com/properties/2014220/north-carolina-murphy-usa-corp-lease-charlotte-nc,3750000.0,2025-07-15,7.0,retail,"gas station, grocery store, qsr/fast food",1.834,Yes,C,,2824.0,2025,1.0,1.0,2824.0,,Net Lease,Absolute NNN,Absolute NNN,single,murphy usa,2045-07-31,5.0,100.0,187500.0,1.0,8.0% every 5 years in lease term | 10% every 5 years in renewal options,Four 5 year renewal options,(Building & Land) Fee Simple,,,,,,,,,,,20.0
charlotte nc,2599000.0,2821 crisman street,"2821 Crisman St Charlotte, NC 28208",Redevelopment - Freedom Dr Corridor,https://www.crexi.com/properties/1573838/north-carolina-2821-crisman-street,2599000.0,2024-06-25,392.0,land,commercial,2.13,,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,8345 west w.t.harris boulevard,"8345 W W.T.Harris Blvd Charlotte, NC 28216",Land • 1.735 acres,https://www.crexi.com/properties/1930292/north-carolina-8345-west-wtharris-boulevard,,2025-05-20,63.0,land,commercial,1.735,,B2(CD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,250000.0,4545 springview road,"4545 Springview Rd Charlotte, NC 28213",Land • 0.6 acres,https://www.crexi.com/properties/1749524/north-carolina-4545-springview-road,250000.0,2025-01-16,186.0,land,residential,0.6,,R1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,849000.0,1909 milton road,"1909 Milton Rd Charlotte, NC 28215","Retail • 1,878 SqFt",https://www.crexi.com/properties/1688499/north-carolina-1909-milton-road,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,790000.0,camp north end,"1709 Statesville Ave Charlotte, NC 28206",Land • 0.65 acres,https://www.crexi.com/properties/1665831/north-carolina-camp-north-end,790000.0,2024-09-12,313.0,"land, mixed use, retail, self storage",commercial,0.65,Yes,,,,,,,,,,,,,,,,,,,,,,For sale by owner,,,,,,,,,,
charlotte nc,530000.0,mint hill outparcel,"Blair Road (Hwy 51) at Fairview Road (Hwy 218) Charlotte, NC 28227",Grocery Anchored outparcel,https://www.crexi.com/properties/372327/north-carolina-mint-hill-outparcel,530000.0,2020-05-14,1894.0,land,residential,0.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,699000.0,1127 commercial ave,"1127 Commercial Ave Charlotte, NC 28205","Industrial Building for Sale • 2,550 SF",https://www.crexi.com/properties/1307768/north-carolina-1127-commercial-ave,699000.0,2023-11-09,621.0,industrial,warehouse,0.295,,ML-1 | UDO Zoning Previously I-1,,2550.0,,,,,274.12,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,2094000.0,wendy's (dark),"7920 Cambridge Commons Drive Charlotte, US","Retail • 7.00% CAP • 3,251 SqFt",https://www.crexi.com/properties/1920254/wendys-dark,2094000.0,2025-05-06,77.0,retail,"qsr/fast food, restaurant",1.02,,,,3251.0,2003,,,3251.0,,Net Lease,,Absolute NNN,single,wendy's,2038-05-31,7.0,100.0,146581.0,,,,Fee Simple (Land & Building Ownership),,Franchisee,20.0,2018-05-21,36.0,,,,,,12.9
charlotte nc,7500000.0,w 6th street assemblage,"1326 W 6th St Charlotte, NC 28216",Land • 2.28 acres,https://www.crexi.com/properties/1961109/north-carolina-w-6th-street-assemblage,7500000.0,2025-06-12,40.0,land,residential,2.28,,N2-B and CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
