city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,investment_type,class,tenancy,square_footage,net_rentable_sqft,year_built,year_renovated,buildings,stories,zoning,lot_size_acres,broker_co_op,ownership,investment_sub_type,brand_tenant,cap_rate,occupancy,occupancy_date,noi,units,gas_pumps,lease_type,tenant_credit,price_sqft,ground_lease,lease_term,remaining_term,parking_spaces,rent_bumps,lease_options,sale_condition,lease_commencement,lease_expiration,number_of_tenants,dock_high_doors,ceiling_height,pro_forma_cap_rate,pro_forma_noi,air_rights_sqft,price_acre_land_value,parking_per_unit,loading_docks,"parking_per_1,000_sq_ft"
charlotte NC,Unpriced,1500 Central Ave,"1500-1502 Central Ave
Charlotte, NC 28205","INFILL, IRREPLACEABLE LOCATION IN PLAZA MIDWOOD NEIGHBORHOOD OF CHARLOTTE",https://www.crexi.com/properties/1688372/north-carolina-1500-central-ave?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"May 28, 2025",54 days,Retail,Restaurant,Value Add,A,Vacant,"5,420","5,420",1932,2024,1,2,MUDD-O,0.083,Yes,Fee Simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$8,000,000",High Volume Gas Station | Business & Real Estate Sale,,High Volume Owner/Operator Opportunity,https://www.crexi.com/properties/1735468/north-carolina-high-volume-gas-station-business-real-estate-sale?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$8,000,000","Dec 18, 2024",215 days,Retail,Gas Station,Owner/User,A,Single,"6,568",,2020,,1,1,Commercial,1.04,,Fee Simple,Gas Station,Shell,17.50%,100%,08/31/2022,"$1,400,000",1,4,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,"Tesla Sales, Service & Delivery","10615 Twin Lakes Pkwy
Charlotte, NC 28269",New Long Term Lease to Tesla in Charlotte,https://www.crexi.com/properties/1461069/north-carolina-tesla-sales-service-delivery?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Feb 28, 2024",509 days,"Retail, Industrial","Auto Shop, Flex, Auto Dealership",,,,"45,205",,,2024,,,,8.65,,,,Tesla,6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$21,724,000",CVS Leasehold 9-Property Portfolio,9 LOCATIONS,"Retail CVS in NV • Fee Simple & Leasehold Ownership • Drive-Thru Equipped • 122,245 SF",https://www.crexi.com/properties/1614246/nevada-cvs-leasehold-9-property-portfolio?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$21,724,000","Jul 17, 2024",369 days,Retail,Pharmacy/Drug,,,Single,"122,245",,,,,,,18.95,,Leasehold (Building Ownership),,CVS Pharmacy,10.87%,,,"$2,361,334",,,Absolute NNN,Corporate Guarantee,$177.71,Yes,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Diverse Net Lease Portfolio with National Tenants,18 LOCATIONS,Various Locations Nationwide • Must Be Purchased as a Portfolio,https://www.crexi.com/properties/1897053/north-carolina-diverse-net-lease-portfolio-with-national-tenants?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Apr 18, 2025",94 days,Retail,"Pharmacy/Drug, Restaurant, Storefront",Net Lease,,,"4,500 - 48,235",,,,,,,.35 - 4.5,,,,"Walgreens, Dollar Tree, Rite Aid, Verizon Wireless, Staples, Office Depot, Mattress Firm, Havertys",,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$5,463,000",Circle K,"1250 Lucky Penny St
Charlotte, NC 28208","Retail • 6.15% CAP • 4,181 SF",https://www.crexi.com/properties/1691105/north-carolina-circle-k?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$5,463,000","Oct 18, 2024",276 days,Retail,"Convenience Store, Gas Station",Sale/Leaseback,A,Single,"4,181","4,181",2023,,1,,,1.27,Yes,,,Circle K,6.15%,100%,,"$336,000",,,Absolute NNN,Franchisee,,No,15 years,15 years,16,10% every 5 years,"5, 5 year",Sale for leaseback,,,,,,,,,,,,
charlotte NC,"$2,094,000",Wendy's (Dark),"7920 Cambridge Commons Drive
Charlotte, US","Retail • 7.00% CAP • 3,251 SqFt",https://www.crexi.com/properties/1920254/wendys-dark?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$2,094,000","May 6, 2025",76 days,Retail,"QSR/Fast Food, Restaurant",Net Lease,,Single,"3,251","3,251",2003,,,,,1.02,,Fee Simple (Land & Building Ownership),,Wendy's,7.00%,100%,,"$146,581",,,Absolute NNN,Franchisee,,,20 years,12.9 years,36,,,,05/21/2018,05/31/2038,,,,,,,,,,
charlotte NC,"$2,500,000","9125 Lawyers Rd - Former Bank Branch - Charlotte, NC ~1.8ac","9125 Lawyers Rd
Charlotte, NC 28227","Former bank branch for sale, prime redevelopment opportunity in growing market - Charlotte, NC.",https://www.crexi.com/properties/1646712/north-carolina-former-bank-branch-on-hard-corner---charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$2,500,000","Aug 16, 2024",339 days,Retail,"Bank, Gas Station, QSR/Fast Food",,,Vacant,"3,255",,,,,,B-P (CD),1.829,,,,,,,,,,,,,$768.05,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,3817 Performance Rd,"3817 Performance Rd
Charlotte, NC 28214",Industrial Land Development Opportunity in Charlotte's Infill Submarket,https://www.crexi.com/properties/1803802/north-carolina-3817-performance-rd?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Feb 19, 2025",152 days,"Industrial, Land",Industrial,,,,,,,,,,ML-1,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,10301 Feldfarm Lane,"10301 Feldfarm Lane
Pineville, NC 28210","Retail • 15,336 SF",https://www.crexi.com/properties/1899605/north-carolina-10301-feldfarm-lane?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Apr 22, 2025",90 days,Retail,Day Care/Nursery,,,,"15,336",,2000,,1,2,,2.09,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,
charlotte NC,"$3,107,000","7-Eleven Anchor Strip | Charlotte, NC","8641 South Blvd
Charlotte, NC 28273",8.00% CAP • Top Performing 7-Eleven in the State,https://www.crexi.com/properties/1982968/north-carolina-7-eleven-anchor-strip-charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$3,107,000","Jun 25, 2025",26 days,Retail,"Gas Station, Shopping Center, Storefront",Net Lease,A,Multi,"5,441","5,441",2015,,,,,0.98,Yes,Fee Simple,NNN,"7-Eleven, Kure Vapor",8.00%,100%,,"$248,599",,,NNN,"Franchisee, Corporate Guarantee",,,,,,10% x 5 Years,4 x 5 Years,,,,2,,,,,,,,,
charlotte NC,"$7,217,000",1515 S Mint,"1515 S Mint St
Charlotte, NC 28203",South End Charlotte • Multi-Tenant F&B and 'Medtail',https://www.crexi.com/properties/1472412/north-carolina-1515-s-mint?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$7,217,000","Mar 15, 2024",493 days,Retail,Storefront,Stabilized,A,Multi,"12,288",,1946,2020,,,,0.511,Yes,,,,6.55%,100%,,"$472,583",,,NNN,,$587.32,,,6.4 years,,,,,,,3,,,,,,,,,
charlotte NC,"$5,463,000",Circle K,"5330 Statesville Rd
Charlotte, NC 28269","Retail • 6.15% CAP • 5,200 SF",https://www.crexi.com/properties/1743581/north-carolina-circle-k?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$5,463,000","Jan 9, 2025",193 days,Retail,"Convenience Store, Gas Station",Sale/Leaseback,A,Single,"5,200",,2023,,1,,,1.74,,,,Circle K,6.15%,,,"$336,000",,,Absolute NNN,,,No,15 years,15 years,16,10% every 5,"Five, 5-Year",Sale for leaseback,,,,,,,,,,,,
charlotte NC,"$6,553,000","7-Eleven | Huntersville, NC","9502 Mt Holly-Huntersville Rd
Huntersville, NC 28078",Pad to Grocery-Anchored Center • Recently Extended Lease • Bonus Depreciation,https://www.crexi.com/properties/1927457/north-carolina-7-eleven-huntersville-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$6,553,000","May 13, 2025",69 days,Retail,Gas Station,,,Single,"3,648","3,648",2001,,1,1,,1.34,Yes,,,7-Eleven,5.85%,,,"$383,328",,,NNN,,,,35.1 years,11.6 years,,10% 3/1/2032,Two Five Year Options with 10% Increases,,02/06/2002,02/28/2037,,,,,,,,,,
charlotte NC,"$7,952,000",7-Eleven,"4800 N Graham St
Charlotte, NC 28269","Single Tenant Retail • Charlotte, NC",https://www.crexi.com/properties/1984201/north-carolina-7-eleven?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$7,952,000","Jun 26, 2025",25 days,Retail,"Convenience Store, Gas Station, Truck Stop",Net Lease,,Single,"3,500",,2020,,1,1,,3.83,Yes,Fee Simple,Absolute NNN,7-Eleven,5.00%,100%,,"$397,570",,22,Absolute NNN,"Credit Rated, Corporate Guarantee","$2,272",No,15 years,10.5 years,33,5% Every 5 Years,4-5 Year Options,,,,,,,,,,,,,
charlotte NC,"$4,618,000",2032 Gateway Blvd,"2032 Gateway Blvd
Charlotte, NC 28208","Industrial • 23,090 SF",https://www.crexi.com/properties/1875703/north-carolina-2032-gateway-blvd?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$4,618,000","Mar 28, 2025",115 days,Industrial,"Distribution, Flex, Warehouse",,,,"23,090",,,,1,1,M-1,2,,,,,,,,,,,,,,,,,,,,,,,,2,17.7' - 21.5’,,,,,,,
charlotte NC,"$12,586,862",South End Square,"1431 South Blvd
Charlotte, NC 28203","Multi-Tenant Invesment Opportunity • 5.85% CAP • Charlotte, NC",https://www.crexi.com/properties/1890296/north-carolina-south-end-square?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$12,586,862","Apr 9, 2025",103 days,"Office, Retail","Medical Office, Clothing Retail, Nail Salon",,,Multi,"22,854",,,,1,2,Commercial,0.837,Yes,,,,5.85%,100%,,"$736,331",,,NNN,,,,,,,Yes,,,,,5,,,,,,,,,
charlotte NC,"$3,915,000",7950 Nations Ford Rd_MOB Investment Opportunity,"7950 Nations Ford Rd
Charlotte, NC 28217",NNN Medical Office Building in Charlotte,https://www.crexi.com/properties/1792523/north-carolina-7950-nations-ford-rd?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$3,915,000","Feb 13, 2025",158 days,Office,Medical Office,Net Lease,B,Single,"10,628",,1986,2024,,,OFC,2.45,Yes,,,,7.20%,100%,,"$281,881",,,NNN,,,,10 years,8.5 years,,3% per year,2 x 5 years,,01/01/2024,12/31/2033,,,,,,,,,,
charlotte NC,Unpriced,West Morehead St Assemblage,"217 W Morehead St
Charlotte, NC 28202",W Morehead St Assemblage • +/- 1.1 AC in South End,https://www.crexi.com/properties/1749204/north-carolina-west-morehead-st-assemblage?recommId=fb1412838a988dfdec9e4e0ebb08358a,Unpriced,"Jan 16, 2025",186 days,"Land, Mixed Use","Commercial, Industrial, Residential",,,,"47,769","29,303",,,3,,UC (Uptown Core),1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$485,000",Tuckaseegee Rd,"2716 Tuckaseegee Rd
Charlotte, NC 28208","Mixed Use • 2,725 SF",https://www.crexi.com/properties/1640527/north-carolina-tuckaseegee-rd?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$485,000","Aug 8, 2024",347 days,"Mixed Use, Office, Senior Living, Special Purpose","Executive Office, Medical Office, Traditional Office",,,,"2,725",,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$849,000",1909 Milton Road,"1909 Milton Rd
Charlotte, NC 28215","Retail • 1,878 SqFt",https://www.crexi.com/properties/1688499/north-carolina-1909-milton-road?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$849,000","Oct 15, 2024",279 days,Retail,Restaurant,,,Vacant,"1,878",,,,,,Cg (General Commercial),0.429,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
charlotte NC,"$1,595,000",2301 N Graham St,"2301 N Graham St
Charlotte, NC 28206","Versatile 17,000 SF Flex Building - Perfect for Immediate Use or Adaptive Reuse",https://www.crexi.com/properties/1657386/north-carolina-2301-n-graham-st?recommId=fb1412838a988dfdec9e4e0ebb08358a,"$1,595,000","Aug 31, 2024",324 days,Industrial,"Distribution, Warehouse, Flex",,,Vacant,"17,000",,1934,,1,2,ML-2,0.65,,,,,,,,,,,NNN,,,,,,,,,,,,,1,,,,,,,,
