city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,zoning,lease_type,tenancy,brand_tenant,remaining_term,square_footage,cap_rate,occupancy,noi,investment_type,buildings,net_rentable_sqft,ownership,year_built,stories,class,rent_bumps,loading_docks,dock_high_doors,ceiling_height,year_renovated,broker_co_op,lease_expiration,price_sqft_land_value,lease_term,sale_condition,number_of_tenants,tenant_credit,lease_commencement,parking_spaces,units,price_acre_land_value,lease_options,ground_lease,price_sqft
charlotte NC,Unpriced,227-231 Atando,"227 Atando Ave
Charlotte, NC 28206",Land • 5.629 acres,https://www.crexi.com/properties/1731347/north-carolina-227-231-atando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$900,000",Two Sandwich Franchise Locations with Turnkey Operations!,"2040 Freeman Park Dr
Charlotte, NC 28273",Business for Sale,https://www.crexi.com/properties/1647145/north-carolina-two-sandwich-franchise-locations-with-turnkey-operations,"$900,000","Aug 16, 2024",339 days,Business for Sale,Business Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,095,860",Mint Hill land on Hwy 218/Allen Black Rd. side,"0 218 Highway
Mint Hill, NC 28227",3.14 Acres I-485 / Mint Hill Exit,https://www.crexi.com/properties/1027782/north-carolina-mint-hill-land-on-hwy-218allen-black-rd-side,"$1,095,860","Jan 17, 2023",917 days,Land,"Vacant Land, Other",3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,935 S Summit,"935 S Summit Ave
Charlotte, NC 28208",Multifamily,https://www.crexi.com/properties/1777952/north-carolina-935-s-summit-avenue,Unpriced,"Feb 12, 2025",160 days,"Multifamily, Land",Apartment Building,1.99,"I-1, PED-O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$4,900,000",Eatonton & Newberry St. Assemblage,"Eatonton & Newberry St. Asseblage
Charlotte, NC 28208",Land for Sale • +/- 6.234 AC,https://www.crexi.com/properties/794089/north-carolina-eatonton-newberry-st-asseblage,"$4,900,000","Mar 30, 2022",1210 days,Land,Industrial,3.22,I-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$41,000,000",Net Leased Portfolio Nine-Property NC and SC,9 LOCATIONS,Rare Legacy Portfolio,https://www.crexi.com/properties/799634/north-carolina-net-leased-portfolio-nine-property-north-carolina-and-south-carolina,"$41,000,000","Apr 8, 2022",1201 days,Retail,"QSR/Fast Food, Grocery Store",.68 - 4.02,,NNN,Single,"Dollar General, Walgreens, CVS Pharmacy, Family Dollar, Food Lion, Bojangles, Goodyear Auto Service",10 years,"3,925 - 39,625",5.27%,100%,"$2,161,314.96",,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Statesville Ave|North End Assemblage,"Statesville Ave|North End Assemblage
Charlotte, NC 28206",Multifamily • 375 Units,https://www.crexi.com/properties/1951054/north-carolina-statesville-avenorth-end-assemblage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$399,000",2928 N. Graham Street,"2928 N Graham St
Charlotte, NC 28206","Industrial • 1,184 SF",https://www.crexi.com/properties/1899222/north-carolina-2928-n-graham-street,"$399,000","Apr 21, 2025",91 days,"Industrial, Land","Distribution, Manufacturing, Warehouse",0.42,ML-1 & N1-C,,,,,"1,184",,,,Redevelopment,1,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,5337 Johoy Drive,"5337 Johoy Drive
Charlotte, NC 28216",Land • 1.87 acres,https://www.crexi.com/properties/1747508/north-carolina-sunseti77-residential-development-opportunity,Unpriced,"Jan 14, 2025",188 days,Land,Residential,1.87,N1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$900,000",World Class Recording/Media Production Studio,"3120 Latrobe Dr.
Charlotte, NC 28211","Special Purpose • 3,472 SqFt",https://www.crexi.com/properties/1933167/north-carolina-world-class-recordingmedia-production-studio,"$900,000","May 21, 2025",62 days,Special Purpose,Sports/Entertainment,,Commercial,,,,,"3,472",,,,,,"3,472",Owner/operator,,,,,,,,,,,,,,,,,,,,,,
