city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,broker_co_op,zoning,class,square_footage,year_built,buildings,stories,net_rentable_sqft,price_sqft,investment_type,investment_sub_type,lease_type,tenancy,brand_tenant,lease_expiration,remaining_term,cap_rate,occupancy,noi,units,rent_bumps,lease_options,ownership,sale_condition,tenant_credit,lease_term,lease_commencement,parking_spaces,loading_docks,dock_high_doors,ceiling_height,year_renovated,price_sqft_land_value
charlotte NC,Unpriced,Belgate Land,"8145 Ikea Blvd
Charlotte, NC 28262",PRIME LOCATION • EASY ACCESS TO I-85 • HIGH TRAFFIC COUNTS • WATER AND SEWER AT SITE,https://www.crexi.com/properties/1832308/north-carolina-belgate-land,Unpriced,"Mar 18, 2025",125 days,Land,Commercial,3.56,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Caldwell Park Dr.,"6120 Caldwell Park Dr
Charlotte, NC 28213",Land,https://www.crexi.com/properties/1402052/north-carolina-caldwell-park-dr,Unpriced,"Jan 8, 2024",560 days,Land,Industrial,4.5 - 36.5,,"ML-2, EC, PUD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Portfolio Sale 435-501,"435 - 501 E. Morehead St.
Charlotte, NC 28202",Portfolio Sale,https://www.crexi.com/properties/1956637/north-carolina-portfolio-sale-435-501,Unpriced,"Jun 6, 2025",46 days,"Office, Retail",Traditional Office,,,B1 and UMD,C,"4,000 - 8,000",1900 and 1961,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$640,000",2820 The Plaza,"Brook Road
Charlotte, NC 28205",Available for Sale or Lease,https://www.crexi.com/properties/141766/north-carolina-2808-2814-2820-the-plaza,"$640,000","Aug 30, 2018",2518 days,"Office, Retail",Medical Office,0.22,,CG,,"1,020",,1,1,"1,020",$627.45,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$3,750,000","MURPHY USA (CORP LEASE) – CHARLOTTE, NC","13230 Carowinds Blvd
Charlotte, NC 28273","Retail • 5.00% CAP • 2,824 SqFt",https://www.crexi.com/properties/2014220/north-carolina-murphy-usa-corp-lease-charlotte-nc,"$3,750,000","Jul 15, 2025",7 days,Retail,"Gas Station, Grocery Store, QSR/Fast Food",1.834,Yes,C,,"2,824",2025,1,1,"2,824",,Net Lease,Absolute NNN,Absolute NNN,Single,MURPHY USA,07/31/2045,20 years,5.00%,100%,"$187,500",1,8.0% every 5 years in lease term | 10% every 5 years in renewal options,Four 5 year renewal options,(Building & Land) Fee Simple,,,,,,,,,,
charlotte NC,"$2,599,000",2821 Crisman Street,"2821 Crisman St
Charlotte, NC 28208",Redevelopment - Freedom Dr Corridor,https://www.crexi.com/properties/1573838/north-carolina-2821-crisman-street,"$2,599,000","Jun 25, 2024",392 days,Land,Commercial,2.13,,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,8345 West W.T.Harris Boulevard,"8345 W W.T.Harris Blvd
Charlotte, NC 28216",Land • 1.735 acres,https://www.crexi.com/properties/1930292/north-carolina-8345-west-wtharris-boulevard,Unpriced,"May 20, 2025",63 days,Land,Commercial,1.735,,B2(CD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$250,000",4545 Springview Road,"4545 Springview Rd
Charlotte, NC 28213",Land • 0.6 acres,https://www.crexi.com/properties/1749524/north-carolina-4545-springview-road,"$250,000","Jan 16, 2025",186 days,Land,Residential,0.6,,R1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$849,000",1909 Milton Road,"1909 Milton Rd
Charlotte, NC 28215","Retail • 1,878 SqFt",https://www.crexi.com/properties/1688499/north-carolina-1909-milton-road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$790,000",Camp north end,"1709 Statesville Ave
Charlotte, NC 28206",Land • 0.65 acres,https://www.crexi.com/properties/1665831/north-carolina-camp-north-end,"$790,000","Sep 12, 2024",313 days,"Land, Mixed Use, Retail, Self Storage",Commercial,0.65,Yes,,,,,,,,,,,,,,,,,,,,,,,For sale by owner,,,,,,,,,
