city,price,name,address,description,link
charlotte NC,Unpriced,1500 Central Ave,"1500-1502 Central Ave
Charlotte, NC 28205","INFILL, IRREPLACEABLE LOCATION IN PLAZA MIDWOOD NEIGHBORHOOD OF CHARLOTTE",https://www.crexi.com/properties/1688372/north-carolina-1500-central-ave?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$8,000,000",High Volume Gas Station | Business & Real Estate Sale,,High Volume Owner/Operator Opportunity,https://www.crexi.com/properties/1735468/north-carolina-high-volume-gas-station-business-real-estate-sale?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,"Tesla Sales, Service & Delivery","10615 Twin Lakes Pkwy
Charlotte, NC 28269",New Long Term Lease to Tesla in Charlotte,https://www.crexi.com/properties/1461069/north-carolina-tesla-sales-service-delivery?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$21,724,000",CVS Leasehold 9-Property Portfolio,9 LOCATIONS,"Retail CVS in NV • Fee Simple & Leasehold Ownership • Drive-Thru Equipped • 122,245 SF",https://www.crexi.com/properties/1614246/nevada-cvs-leasehold-9-property-portfolio?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,Diverse Net Lease Portfolio with National Tenants,18 LOCATIONS,Various Locations Nationwide • Must Be Purchased as a Portfolio,https://www.crexi.com/properties/1897053/north-carolina-diverse-net-lease-portfolio-with-national-tenants?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$5,463,000",Circle K,"1250 Lucky Penny St
Charlotte, NC 28208","Retail • 6.15% CAP • 4,181 SF",https://www.crexi.com/properties/1691105/north-carolina-circle-k?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$2,094,000",Wendy's (Dark),"7920 Cambridge Commons Drive
Charlotte, US","Retail • 7.00% CAP • 3,251 SqFt",https://www.crexi.com/properties/1920254/wendys-dark?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$2,500,000","9125 Lawyers Rd - Former Bank Branch - Charlotte, NC ~1.8ac","9125 Lawyers Rd
Charlotte, NC 28227","Former bank branch for sale, prime redevelopment opportunity in growing market - Charlotte, NC.",https://www.crexi.com/properties/1646712/north-carolina-former-bank-branch-on-hard-corner---charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,3817 Performance Rd,"3817 Performance Rd
Charlotte, NC 28214",Industrial Land Development Opportunity in Charlotte's Infill Submarket,https://www.crexi.com/properties/1803802/north-carolina-3817-performance-rd?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,10301 Feldfarm Lane,"10301 Feldfarm Lane
Pineville, NC 28210","Retail • 15,336 SF",https://www.crexi.com/properties/1899605/north-carolina-10301-feldfarm-lane?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$3,107,000","7-Eleven Anchor Strip | Charlotte, NC","8641 South Blvd
Charlotte, NC 28273",8.00% CAP • Top Performing 7-Eleven in the State,https://www.crexi.com/properties/1982968/north-carolina-7-eleven-anchor-strip-charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$7,217,000",1515 S Mint,"1515 S Mint St
Charlotte, NC 28203",South End Charlotte • Multi-Tenant F&B and 'Medtail',https://www.crexi.com/properties/1472412/north-carolina-1515-s-mint?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$5,463,000",Circle K,"5330 Statesville Rd
Charlotte, NC 28269","Retail • 6.15% CAP • 5,200 SF",https://www.crexi.com/properties/1743581/north-carolina-circle-k?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$6,553,000","7-Eleven | Huntersville, NC","9502 Mt Holly-Huntersville Rd
Huntersville, NC 28078",Pad to Grocery-Anchored Center • Recently Extended Lease • Bonus Depreciation,https://www.crexi.com/properties/1927457/north-carolina-7-eleven-huntersville-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$7,952,000",7-Eleven,"4800 N Graham St
Charlotte, NC 28269","Single Tenant Retail • Charlotte, NC",https://www.crexi.com/properties/1984201/north-carolina-7-eleven?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$4,618,000",2032 Gateway Blvd,"2032 Gateway Blvd
Charlotte, NC 28208","Industrial • 23,090 SF",https://www.crexi.com/properties/1875703/north-carolina-2032-gateway-blvd?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$12,586,862",South End Square,"1431 South Blvd
Charlotte, NC 28203","Multi-Tenant Invesment Opportunity • 5.85% CAP • Charlotte, NC",https://www.crexi.com/properties/1890296/north-carolina-south-end-square?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$3,915,000",7950 Nations Ford Rd_MOB Investment Opportunity,"7950 Nations Ford Rd
Charlotte, NC 28217",NNN Medical Office Building in Charlotte,https://www.crexi.com/properties/1792523/north-carolina-7950-nations-ford-rd?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,West Morehead St Assemblage,"217 W Morehead St
Charlotte, NC 28202",W Morehead St Assemblage • +/- 1.1 AC in South End,https://www.crexi.com/properties/1749204/north-carolina-west-morehead-st-assemblage?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$485,000",Tuckaseegee Rd,"2716 Tuckaseegee Rd
Charlotte, NC 28208","Mixed Use • 2,725 SF",https://www.crexi.com/properties/1640527/north-carolina-tuckaseegee-rd?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$849,000",1909 Milton Road,"1909 Milton Rd
Charlotte, NC 28215","Retail • 1,878 SqFt",https://www.crexi.com/properties/1688499/north-carolina-1909-milton-road?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,595,000",2301 N Graham St,"2301 N Graham St
Charlotte, NC 28206","Versatile 17,000 SF Flex Building - Perfect for Immediate Use or Adaptive Reuse",https://www.crexi.com/properties/1657386/north-carolina-2301-n-graham-st?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$5,926,394","Cadence Education - Reames - Charlotte, NC","9206 Reames Road
Charlotte, NC 28216","300+ Unit Corporate Guarantor • 2% Annual Increases • Charlotte, NC",https://www.crexi.com/properties/1930172/north-carolina-cadence-education---reames---charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$790,000",Camp north end,"1721 Statesville Ave
Charlotte, NC 28206",Land,https://www.crexi.com/properties/1665830/north-carolina-camp-north-end?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,Stonehaven Duplex Portfolio,"6500 Pineburr Rd
Charlotte, NC 28211",Multifamily • 10 Units,https://www.crexi.com/properties/1843561/north-carolina-stonehaven-duplex-portfolio?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,Shops at Southpoint Village,"10720 S Tryon St
Charlotte, NC 28273",Retail,https://www.crexi.com/properties/1722981/north-carolina-shops-at-southpoint-village?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$349,999",9738 Ridge St.,"9738 Ridge St
Charlotte, NC 28214",Land • 1.762 acres,https://www.crexi.com/properties/1525480/north-carolina-9738-ridge-st?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,8910 S Tryon Street,"8910 S Tryon St
Charlotte, NC 28273",Investment Opportunity • Retail Shopping Center • Charlotte NC,https://www.crexi.com/properties/1831221/north-carolina-8910-s-tryon-street?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$41,000,000",Net Leased Portfolio Nine-Property NC and SC,9 LOCATIONS,Rare Legacy Portfolio,https://www.crexi.com/properties/799634/north-carolina-net-leased-portfolio-nine-property-north-carolina-and-south-carolina?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$900,000","1720 Oakdale Road Charlotte, NC","1720 Oakdale Rd
Charlotte, NC 28216",Office/Retail For Sale,https://www.crexi.com/properties/1746433/north-carolina-1720-oakdale-road-charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,4101 Monroe Rd,"4101 Monroe Rd
Charlotte, NC 28205","Retail • 34,150 SF",https://www.crexi.com/properties/1767441/north-carolina-4101-monroe-rd?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$790,000",Camp north end,"1709 Statesville Ave
Charlotte, NC 28206",Land • 0.65 acres,https://www.crexi.com/properties/1665831/north-carolina-camp-north-end?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$2,700,000",3406 Latrobe Dr,"3406 Latrobe Dr
Charlotte, NC 28211","Industrial • 12,221 SF",https://www.crexi.com/properties/1527000/north-carolina-3406-latrobe-dr?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,795,000",9616 Old Statesville Road,"9616 Old Statesville Rd
Charlotte, NC 28269","Retail • 8,400 SqFt",https://www.crexi.com/properties/1231245/north-carolina-9616-old-statesville-road?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$610,000","10310 Couloak Dr, Suit 400","10310 Couloak Dr
Charlotte, NC 28216","Two-story, 2,978 SF office condo located just minutes from I-485 • Suite 400",https://www.crexi.com/properties/1334561/north-carolina-10310-couloak-dr-suit-400?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,050,000",NoDa Turn Key Bar & Lounge,,"NoDa Turn Key Bar & Lounge • 3,438 SF",https://www.crexi.com/properties/1572327/north-carolina-noda-turn-key-bar-lounge?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,500,000",Kirkley,"2925 Derita Av.
Charlotte, NC 28269",Land • 3.03 acres,https://www.crexi.com/properties/1717864/north-carolina-kirkley?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,892,901","Advance Auto Parts - Charlotte, NC","10025 Albemarle Road
Charlotte, NC 28227-3438",NC Advance Auto Parts For Sale • 5+ Year Term • 6.75% Cap,https://www.crexi.com/properties/1961385/north-carolina-advance-auto-parts---charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$650,000",Uptown Charlotte - Live/Work/Residential Income Investment,"1115 Greenleaf Avenue B
Charlotte, NC 28202","Mixed Use • 1,926 SF",https://www.crexi.com/properties/1954252/north-carolina-uptown-charlotte---liveworkresidential-income-investment?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$2,900,000","4.8 acre Industrial near 485, 85 Charlotte 2 Lots 31000 sqft","10908 Mt Holly Rd
Charlotte, NC 28214","HOT PROPERTY PACKAGE: INDUSTRIAL • 2 DOCKS • 5 BAYS Dealership, Manufac, Bussiness, Storage. FLEX...",https://www.crexi.com/properties/1466487/north-carolina-10908-mount-holly-rd-charlotte-industrial-32k-sq-ft?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$6,500,000",3990 Sam Wilson Road,"3990 Sam Wilson Rd
Charlotte, NC 28214","Industrial • 23,153 SF",https://www.crexi.com/properties/1684536/north-carolina-3990-sam-wilson-road?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,568,000",Family Dollar,"4130 Rozzelles Ferry Rd
Charlotte, NC 28216","Retail • 7.75% CAP • 8,537 SqFt",https://www.crexi.com/properties/1901711/north-carolina-family-dollar?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,9300 South Blvd,"9300 South Blvd
Charlotte, NC 28273","2nd Generation Freestanding Restaurant with Drive-Thru • 3,092 SF",https://www.crexi.com/properties/1817056/north-carolina-9300-south-blvd?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$5,850,000",Gardner-Webb University Charlotte Center,"8030 Arrowridge Blvd
Charlotte, NC 28273","25,123 SF Two-Story Office Building Available for Sale",https://www.crexi.com/properties/1940087/north-carolina-gardner-webb-university-charlotte-center?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,221 S Tryon St,"221 S Tryon St
Charlotte, NC 28202",Iconic Retail Condo in Charlotte's Thriving Uptown,https://www.crexi.com/properties/1657381/north-carolina-221-s-tryon-st?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,750,000",3400 Silas Ave,"3400 Silas Ave
Charlotte, NC 28206","Industrial • 10,000 SF",https://www.crexi.com/properties/1640657/north-carolina-3400-silas-ave?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$2,900,000",2528 Lucena,"2528 Lucena St
Charlotte, NC 28206","Industrial • 20,228 SF",https://www.crexi.com/properties/1915584/north-carolina-2528-lucena?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$300,000",765 East Mallard Creek Church Road,"765 E Mallard Creek Church Rd
Charlotte, NC 28262",Land • 1.4 acres,https://www.crexi.com/properties/1079238/north-carolina-765-east-mallard-creek-church-road?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$799,000",2039 Lanier Ave - Oakhurst Triplex,"2039 lanier ave
Charlotte, NC 28205",Charming Triplex in Oakhurst – Rare Investment Opportunity!,https://www.crexi.com/properties/1921300/north-carolina-2039-lanier-ave---oakhurst-triplex?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$3,500,000",519 Armour Dr.,"519 Armour Dr
Charlotte, NC 28206","Industrial • 16,281 SF",https://www.crexi.com/properties/1693454/north-carolina-519-armour-dr?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$6,250,000",I-77 and 7215 Smith Corners BLVD RUG SOURCE,"7215 Smith Corners Blvd
Charlotte, NC 28269","Retail • 36,735 SF I-77 Interstate exposure with Exit 18 next to the development.",https://www.crexi.com/properties/1691033/north-carolina-smith-corners?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,Beatties Ford Rd @ I-85,"2731 Beatties Ford Rd
Charlotte, NC 28216",Land For Sale • 10.48 acres • I-85 frontage,https://www.crexi.com/properties/1777621/north-carolina-beatties-ford-rd-i-85?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,650,000",6709 N Tryon St,"6709 N Tryon St
Charlotte, NC 28213",FORMER BANK BRANCH FOR SALE • PRIME RETAIL LOCATION IN CHARLOTTE,https://www.crexi.com/properties/1337405/north-carolina-former-bank-branch?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$350,000","1111 Parkwood Avenue, Charlotte, NC 28205","1101, 1105, 1109, 1111 Parkwood Ave
Charlotte, NC 28205",Prime Piece of Charlotte Real Estate,https://www.crexi.com/properties/1501041/north-carolina-1101-1105-11091111-parkwood-avenue-charlotte-nc-28205?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$1,200,000",2522 The Plaza,"2522 The Plaza
Charlotte, NC 28205",The Plaza ~ Land ~ 0.44 acres,https://www.crexi.com/properties/1546057/north-carolina-2522-the-plaza?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$750,000",2215 West Boulevard,"2215 West Blvd
Charlotte, NC 28208",1200 Sf vacant free standing retail space on a busy corner with 2 lots for residential development.,https://www.crexi.com/properties/1826736/north-carolina-2215-west-boulevard?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$999,000","1346 Hill Rd. Charlotte, NC","1346 Hill Rd
Charlotte, NC 28210",3813 SF of Stand Alone Office Space Available!,https://www.crexi.com/properties/1550673/north-carolina-1346-hill-rd-charlotte-nc?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,"$4,709,630",Adams Auto Group,"6501 South Blvd
Charlotte, NC 28217","Retail • 6.75% CAP • 15,620 SF",https://www.crexi.com/properties/1924661/north-carolina-adams-auto-group?recommId=fb1412838a988dfdec9e4e0ebb08358a
charlotte NC,Unpriced,204 East Peterson Street,"204 E Peterson Dr
Charlotte, NC 28217","Office • 3,590 SF",https://www.crexi.com/properties/1529536/north-carolina-204-east-peterson-street?recommId=fb1412838a988dfdec9e4e0ebb08358a
