city,price,name,address,description,link
charlotte NC,Unpriced,227-231 Atando,"227 Atando Ave
Charlotte, NC 28206",Land • 5.629 acres,https://www.crexi.com/properties/1731347/north-carolina-227-231-atando
charlotte NC,"$900,000",Two Sandwich Franchise Locations with Turnkey Operations!,"2040 Freeman Park Dr
Charlotte, NC 28273",Business for Sale,https://www.crexi.com/properties/1647145/north-carolina-two-sandwich-franchise-locations-with-turnkey-operations
charlotte NC,"$1,095,860",Mint Hill land on Hwy 218/Allen Black Rd. side,"0 218 Highway
Mint Hill, NC 28227",3.14 Acres I-485 / Mint Hill Exit,https://www.crexi.com/properties/1027782/north-carolina-mint-hill-land-on-hwy-218allen-black-rd-side
charlotte NC,Unpriced,935 S Summit,"935 S Summit Ave
Charlotte, NC 28208",Multifamily,https://www.crexi.com/properties/1777952/north-carolina-935-s-summit-avenue
charlotte NC,"$4,900,000",Eatonton & Newberry St. Assemblage,"Eatonton & Newberry St. Asseblage
Charlotte, NC 28208",Land for Sale • +/- 6.234 AC,https://www.crexi.com/properties/794089/north-carolina-eatonton-newberry-st-asseblage
charlotte NC,"$41,000,000",Net Leased Portfolio Nine-Property NC and SC,9 LOCATIONS,Rare Legacy Portfolio,https://www.crexi.com/properties/799634/north-carolina-net-leased-portfolio-nine-property-north-carolina-and-south-carolina
charlotte NC,Unpriced,Statesville Ave|North End Assemblage,"Statesville Ave|North End Assemblage
Charlotte, NC 28206",Multifamily • 375 Units,https://www.crexi.com/properties/1951054/north-carolina-statesville-avenorth-end-assemblage
charlotte NC,"$399,000",2928 N. Graham Street,"2928 N Graham St
Charlotte, NC 28206","Industrial • 1,184 SF",https://www.crexi.com/properties/1899222/north-carolina-2928-n-graham-street
charlotte NC,Unpriced,5337 Johoy Drive,"5337 Johoy Drive
Charlotte, NC 28216",Land • 1.87 acres,https://www.crexi.com/properties/1747508/north-carolina-sunseti77-residential-development-opportunity
charlotte NC,"$900,000",World Class Recording/Media Production Studio,"3120 Latrobe Dr.
Charlotte, NC 28211","Special Purpose • 3,472 SqFt",https://www.crexi.com/properties/1933167/north-carolina-world-class-recordingmedia-production-studio
